participant,gender,age,offlineExperience,offlineAggressivity,onlineExperience,onlineAggressivity,onlineSatisfaction,onlineVerbalSatisfaction,onlineNonverbalSatisfaction,onlineMeetingParticipationChange,onlineClassParticipationChange
0,M,26,7,7,7,7,6,6,4,6,3
1,M,21,7,7,7,7,5,3,3,6,6
2,F,21,7,5,7,6,7,7,6,7,6
3,M,28,7,6,6,4,2,3,2,3,1
4,M,25,6,6,7,7,3,2,5,5,6
5,M,27,7,7,7,7,5,5,5,3,4
6,F,19,5,6,7,6,7,6,6,4,5
7,F,26,7,6,6,6,5,4,2,4,4
8,F,23,7,2,5,1,3,6,3,2,2
9,F,26,7,5,5,4,4,4,2,2,3
10,M,27,7,7,6,4,7,7,5,7,6
11,M,26,7,7,7,7,7,7,6,7,7
12,F,26,7,5,6,6,6,2,3,5,5
13,M,30,6,6,6,6,6,7,6,6,4
14,M,21,6,6,7,6,3,6,2,5,7
15,F,25,7,5,6,4,6,7,4,3,5
16,F,20,4,5,6,5,6,6,3,5,4
17,F,26,7,7,7,7,1,2,3,4,2
18,F,22,5,7,6,6,3,3,2,3,6
19,F,23,7,2,5,1,3,6,3,2,2
20,F,23,7,2,5,1,3,6,3,2,2
21,F,19,5,5,3,3,5,2,1,3,2
22,M,26,7,5,7,4,5,6,2,3,5
23,M,26,7,6,7,6,6,6,3,4,2
24,M,27,6,6,6,7,5,6,6,7,5
25,M,27,6,5,6,3,6,6,2,3,3
26,F,19,5,3,6,4,3,2,2,5,4
27,M,26,6,6,5,3,6,3,2,2,3
28,F,22,6,6,5,6,5,6,3,4,2
29,M,24,5,7,5,7,7,2,2,4,6
30,M,24,7,7,7,7,4,2,4,4,1
31,F,26,5,5,7,5,6,6,2,4,3
32,M,26,7,7,7,6,5,4,4,5,5
33,F,24,7,6,6,5,6,6,5,6,5
34,M,24,7,7,7,7,6,5,6,6,6
35,F,20,7,6,5,4,3,3,2,2,1
36,F,27,7,6,7,5,4,3,2,4,3
37,M,26,7,4,7,3,6,6,5,3,4
38,F,38,4,7,4,3,1,1,1,2,2
39,F,21,7,3,7,3,1,1,1,3,3
40,F,26,7,6,5,5,5,2,2,5,3
41,F,25,7,7,7,7,7,7,6,7,7
