meeting,kind,value
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,6
offline,experience,7
offline,experience,5
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,6
offline,experience,6
offline,experience,7
offline,experience,4
offline,experience,7
offline,experience,5
offline,experience,7
offline,experience,7
offline,experience,5
offline,experience,7
offline,experience,7
offline,experience,6
offline,experience,6
offline,experience,5
offline,experience,6
offline,experience,6
offline,experience,5
offline,experience,7
offline,experience,5
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,7
offline,experience,4
offline,experience,7
offline,experience,7
offline,experience,7
offline,activeness,7
offline,activeness,7
offline,activeness,5
offline,activeness,6
offline,activeness,6
offline,activeness,7
offline,activeness,6
offline,activeness,6
offline,activeness,2
offline,activeness,5
offline,activeness,7
offline,activeness,7
offline,activeness,5
offline,activeness,6
offline,activeness,6
offline,activeness,5
offline,activeness,5
offline,activeness,7
offline,activeness,7
offline,activeness,2
offline,activeness,2
offline,activeness,5
offline,activeness,5
offline,activeness,6
offline,activeness,6
offline,activeness,5
offline,activeness,3
offline,activeness,6
offline,activeness,6
offline,activeness,7
offline,activeness,7
offline,activeness,5
offline,activeness,7
offline,activeness,6
offline,activeness,7
offline,activeness,6
offline,activeness,6
offline,activeness,4
offline,activeness,7
offline,activeness,3
offline,activeness,6
offline,activeness,7
online,experience,7
online,experience,7
online,experience,7
online,experience,6
online,experience,7
online,experience,7
online,experience,7
online,experience,6
online,experience,5
online,experience,5
online,experience,6
online,experience,7
online,experience,6
online,experience,6
online,experience,7
online,experience,6
online,experience,6
online,experience,7
online,experience,6
online,experience,5
online,experience,5
online,experience,3
online,experience,7
online,experience,7
online,experience,6
online,experience,6
online,experience,6
online,experience,5
online,experience,5
online,experience,5
online,experience,7
online,experience,7
online,experience,7
online,experience,6
online,experience,7
online,experience,5
online,experience,7
online,experience,7
online,experience,4
online,experience,7
online,experience,5
online,experience,7
online,activeness,7
online,activeness,7
online,activeness,6
online,activeness,4
online,activeness,7
online,activeness,7
online,activeness,6
online,activeness,6
online,activeness,1
online,activeness,4
online,activeness,4
online,activeness,7
online,activeness,6
online,activeness,6
online,activeness,6
online,activeness,4
online,activeness,5
online,activeness,7
online,activeness,6
online,activeness,1
online,activeness,1
online,activeness,3
online,activeness,4
online,activeness,6
online,activeness,7
online,activeness,3
online,activeness,4
online,activeness,3
online,activeness,6
online,activeness,7
online,activeness,7
online,activeness,5
online,activeness,6
online,activeness,5
online,activeness,7
online,activeness,4
online,activeness,5
online,activeness,3
online,activeness,3
online,activeness,3
online,activeness,5
online,activeness,7
